field_id	documents	values	value_status
C.8G05	239	239	reported=239
C.8G06	45	45	reported=45
C.8G07	29	29	not_applicable=1;reported=28
C.901	473	473	parse_error=5;reported=468
C.902	465	465	parse_error=7;reported=458
C.903	411	411	parse_error=2;reported=409
C.904	410	410	parse_error=2;reported=408
C.905	447	447	parse_error=3;reported=444
C.906	446	446	parse_error=4;reported=442
C.907	449	449	parse_error=5;reported=444
C.908	428	428	parse_error=2;reported=426
C.909	425	425	parse_error=3;reported=422
C.910	430	430	parse_error=3;reported=427
C.911	473	473	parse_error=2;reported=471
C.912	467	467	parse_error=2;reported=465
C.913	472	472	parse_error=5;reported=467
C.914	470	470	parse_error=6;reported=464
C.915	466	466	parse_error=4;reported=462
C.916	470	470	parse_error=4;reported=466
C.917	418	418	parse_error=10;reported=408
C.918	415	415	parse_error=12;reported=403
C.919	411	411	parse_error=4;reported=407
C.920	406	406	parse_error=2;reported=404
C.921	403	403	parse_error=3;reported=400
C.922	410	410	parse_error=8;reported=402
C.923	32	32	not_applicable=2;parse_error=6;reported=24
C.924	29	29	not_applicable=2;parse_error=4;reported=23
C.925	31	31	not_applicable=2;parse_error=8;reported=21
C.926	90	90	parse_error=5;reported=85
C.927	82	82	parse_error=5;reported=77
C.928	85	85	parse_error=10;reported=75
C.929	82	82	parse_error=4;reported=78
C.930	85	85	parse_error=4;reported=81
C.931	85	85	parse_error=5;reported=80
C.932	385	385	parse_error=7;reported=378
C.933	388	388	parse_error=7;reported=381
C.934	369	369	parse_error=7;reported=362
C.935	324	324	parse_error=7;reported=317
C.936	280	280	parse_error=7;reported=273
C.937	255	255	parse_error=7;reported=248
C.938	336	336	parse_error=3;reported=333
C.939	396	396	parse_error=7;reported=389
C.940	394	394	parse_error=5;reported=389
C.941	376	376	parse_error=8;reported=368
C.942	334	334	parse_error=6;reported=328
C.943	291	291	parse_error=5;reported=286
C.944	257	257	parse_error=5;reported=252
C.945	369	369	parse_error=3;reported=366
C.946	379	379	parse_error=7;reported=372
C.947	378	378	parse_error=5;reported=373
C.948	355	355	parse_error=8;reported=347
C.949	317	317	not_applicable=1;parse_error=7;reported=309
C.950	269	269	parse_error=6;reported=263
C.951	246	246	parse_error=5;reported=241
C.952	260	260	parse_error=4;reported=256
C.953	385	385	parse_error=6;reported=379
C.954	381	381	parse_error=5;reported=376
C.955	337	337	not_applicable=1;parse_error=7;reported=329
C.956	289	289	parse_error=9;reported=280
C.957	236	236	parse_error=6;reported=230
C.958	276	276	parse_error=4;reported=272
C.959	281	281	parse_error=3;reported=278
C.960	111	111	parse_error=7;reported=104
C.961	107	107	parse_error=6;reported=101
C.962	100	100	parse_error=8;reported=92
C.963	91	91	parse_error=9;reported=82
C.964	71	71	parse_error=5;reported=66
C.965	65	65	parse_error=4;reported=61
C.966	43	43	parse_error=3;reported=40
C.967	103	103	parse_error=7;reported=96
C.968	100	100	parse_error=5;reported=95
C.969	93	93	parse_error=6;reported=87
C.970	86	86	parse_error=5;reported=81
C.971	70	70	parse_error=5;reported=65
C.972	60	60	parse_error=3;reported=57
C.973	39	39	parse_error=2;reported=37
C.974	37	37	parse_error=4;reported=33
C.975	35	35	parse_error=3;reported=32
C.976	35	35	parse_error=3;reported=32
C.977	34	34	parse_error=5;reported=29
