field_id	documents	values	value_status
I.307	365	365	parse_error=4;reported=361
I.308	379	379	parse_error=3;reported=376
I.309	312	312	parse_error=3;reported=309
I.310	317	317	parse_error=3;reported=314
I.311	312	312	parse_error=3;reported=309
I.312	301	301	parse_error=3;reported=298
I.313	287	287	parse_error=3;reported=284
I.314	282	282	parse_error=3;reported=279
I.315	277	277	parse_error=3;reported=274
I.316	361	361	not_applicable=1;parse_error=3;reported=357
J.101	56	56	parse_error=2;reported=54
J.102	72	72	parse_error=3;reported=69
J.103	50	50	parse_error=3;reported=47
J.104	69	69	parse_error=4;reported=65
J.105	74	74	parse_error=2;reported=72
J.106	36	36	parse_error=3;reported=33
J.107	93	93	parse_error=3;reported=90
J.108	41	41	parse_error=3;reported=38
J.109	84	84	parse_error=2;reported=82
J.110	65	65	parse_error=2;reported=63
J.111	61	61	parse_error=2;reported=59
J.112	70	70	parse_error=2;reported=68
J.113	46	46	parse_error=2;reported=44
J.114	44	44	parse_error=2;reported=42
J.115	75	75	parse_error=2;reported=73
J.116	75	75	parse_error=2;reported=73
J.117	31	31	parse_error=2;reported=29
J.118	63	63	parse_error=3;reported=60
J.119	59	59	parse_error=3;reported=56
J.120	59	59	parse_error=6;reported=53
J.121	74	74	parse_error=2;reported=72
J.122	46	46	parse_error=2;reported=44
J.123	53	53	parse_error=3;reported=50
J.124	33	33	parse_error=2;reported=31
J.125	62	62	parse_error=2;reported=60
J.126	39	39	parse_error=2;reported=37
J.127	56	56	parse_error=3;reported=53
J.128	47	47	parse_error=2;reported=45
J.129	65	65	parse_error=3;reported=62
J.130	83	83	parse_error=4;reported=79
J.131	36	36	parse_error=3;reported=33
J.132	33	33	parse_error=3;reported=30
J.133	34	34	parse_error=3;reported=31
J.134	34	34	parse_error=3;reported=31
J.135	82	82	parse_error=3;reported=79
J.136	85	85	parse_error=2;reported=83
J.137	108	108	parse_error=2;reported=106
J.138	47	47	parse_error=4;reported=43
J.139	17	17	parse_error=5;reported=12
J.140	474	474	parse_error=3;reported=471
J.141	35	35	parse_error=6;reported=29
J.142	28	28	parse_error=5;reported=23
J.143	23	23	parse_error=5;reported=18
J.144	25	25	parse_error=6;reported=19
J.145	28	28	parse_error=5;reported=23
J.146	23	23	parse_error=5;reported=18
J.147	29	29	parse_error=5;reported=24
J.148	25	25	parse_error=4;reported=21
J.149	28	28	parse_error=4;reported=24
J.150	27	27	parse_error=5;reported=22
J.151	37	37	parse_error=4;reported=33
J.152	24	24	parse_error=4;reported=20
J.153	27	27	parse_error=5;reported=22
J.154	26	26	parse_error=4;reported=22
J.155	26	26	parse_error=3;reported=23
J.156	63	63	parse_error=6;reported=57
J.157	24	24	parse_error=4;reported=20
J.158	28	28	parse_error=4;reported=24
J.159	24	24	parse_error=6;reported=18
J.160	25	25	parse_error=6;reported=19
J.161	29	29	parse_error=5;reported=24
J.162	22	22	parse_error=3;reported=19
J.163	24	24	parse_error=5;reported=19
J.164	23	23	parse_error=4;reported=19
J.165	28	28	parse_error=4;reported=24
J.166	24	24	parse_error=4;reported=20
J.167	25	25	parse_error=3;reported=22
J.168	34	34	parse_error=5;reported=29
J.169	27	27	parse_error=7;reported=20
J.170	27	27	parse_error=5;reported=22
J.171	25	25	parse_error=4;reported=21
J.172	26	26	parse_error=4;reported=22
J.173	25	25	parse_error=5;reported=20
J.174	29	29	parse_error=5;reported=24
J.175	33	33	parse_error=5;reported=28
J.176	39	39	parse_error=5;reported=34
J.177	40	40	parse_error=5;reported=35
J.178	28	28	parse_error=6;reported=22
J.179	18	18	parse_error=8;reported=10
J.180	452	452	parse_error=4;reported=448
J.181	156	156	parse_error=5;reported=151
J.182	360	360	parse_error=6;reported=354
J.183	203	203	parse_error=5;reported=198
J.184	335	335	parse_error=16;reported=319
J.185	350	350	parse_error=3;reported=347
J.186	114	114	parse_error=8;reported=106
J.187	435	435	parse_error=3;reported=432
J.188	95	95	parse_error=3;reported=92
J.189	353	353	parse_error=5;reported=348
J.190	334	334	parse_error=2;reported=332
J.191	165	165	parse_error=3;reported=162
J.192	401	401	parse_error=10;reported=391
J.193	167	167	parse_error=4;reported=163
J.194	143	143	parse_error=3;reported=140
J.195	433	433	parse_error=10;reported=423
J.196	287	287	parse_error=9;reported=278
J.197	79	79	parse_error=2;reported=77
J.198	444	444	parse_error=2;reported=442
J.199	431	431	parse_error=14;reported=417
J.200	283	283	parse_error=3;reported=280
J.201	328	328	parse_error=8;reported=320
J.202	262	262	parse_error=1;reported=261
J.203	386	386	parse_error=13;reported=373
J.204	94	94	parse_error=2;reported=92
J.205	427	427	parse_error=6;reported=421
J.206	91	91	parse_error=1;reported=90
J.207	431	431	parse_error=1;reported=430
J.208	196	196	parse_error=1;reported=195
J.209	284	284	parse_error=2;reported=282
J.210	433	433	parse_error=4;reported=429
J.211	78	78	parse_error=1;reported=77
J.212	75	75	parse_error=1;reported=74
J.213	77	77	parse_error=1;reported=76
J.214	97	97	parse_error=2;reported=95
J.215	420	420	parse_error=2;reported=418
J.216	326	326	parse_error=2;reported=324
J.217	386	386	parse_error=2;reported=384
J.218	423	423	parse_error=8;reported=415
J.219	37	37	parse_error=2;reported=35
J.220	447	447	parse_error=1;reported=446
